IdExtraccion|NombreExtraccion|IdConfiguracionGeneracionArchivos|Tema|NombreArchivoDestino|IdGeneracionArchivoMaestra|IndRegulatorio|DatoObligatorio|NBSynapse|ValorDeltaInicial|ValorDeltaFinal|FechaDeltaInicial|FechaDeltaFinal|PLSynapse|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado|EstadoDeltasXM
182|27_29_31_TablaMaestraInformacionCttosLiquidada|01322080-1429-4A74-8C28-41BD8463074F|EstadisticasCttos|PreciosMensualesContratosGeneradorNR||true|true|NB_EstadisticasCttos_PreciosMensualesContratosGeneradorNR|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T06:09:19.213Z|Finalizado|Deltas OK!
755|10_AportesHidraulicos|02B28971-0BE5-45D1-8B0E-C164198E21CB|InformacionOperativaPeriodicaSIN|10_AportesHidraulicos||true|true|NB_InformacionOperativaPeriodicaSIN_10_AportesHidraulicos|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 10_AportesHidraulicos, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.10'. (102) (SQLExecDirectW)\")"||2024-09-01T08:05:57.490Z|Fallido|Deltas OK!
448|10_PrecioMarginalesDiarioRedespacho|03E35F17-E237-4C84-A51E-173D72942EB2|InformacionOperativaPeriodicaSIN|PrecioMarginalesDiarioRedespacho||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T23:08:18.230Z|Finalizado|Deltas OK!
889|Multifuente_33_2_GarantiasParaCubrirTransaccionesDelMEM|054D02DA-54C8-4A42-AD86-127D9538D737|InformacionFinancieraMEM|MontosGarantiasMecanismosAgregados||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-11T07:08:23.387Z|Finalizado|Deltas OK!
737|10_Panorama_Energetico_Mediano_Plazo_Consumo_Combustible|0837F055-DDDA-4100-B546-CCFD7F879F26|InformacionOperativaPeriodicaSIN|ConsumoCombustibleMedianoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_ConsumoCombustibleMedianoPlazo|2024-08-26|2026-08-24|2024-08-26T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Problemas con deltas, se tienen 2024-08-26 y 2024-09-01, deberian ser 2024-09-02 y 2024-09-08 respectivamente.|Error|Pipeline - Fallo ejecucion del NoteBook (Error en pipeline) -||2024-09-01T19:08:52.987Z|Fallido|Deltas OK!
182|27_29_31_TablaMaestraInformacionCttosLiquidada|086D8665-8EC6-4D3B-BACE-C255389FBA1F|EstadisticasCttos|EnergiaPromedioMensualSINNR||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T06:09:17.783Z|Finalizado|Deltas OK!
765|10_PanoramaEnergeticoLargoPlazoIndices|09A70A19-F6F2-4585-B3EC-B1474C836807|InformacionOperativaPeriodicaSIN|IndicesLargoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_IndicesLargoPlazo|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-15T18:05:42.180Z|Finalizado|Deltas OK!
752|10_Panorama_Energetico_Largo_Plazo_Consumo_Combustible|0BF1D973-2CB2-4B8E-A1A3-901528ED2656|InformacionOperativaPeriodicaSIN|ConsumoCombustibleLargoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_ConsumoCombustibleLargoPlazo|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-25T09:26:06.617Z|Finalizado|Deltas OK!
182|27_29_31_TablaMaestraInformacionCttosLiquidada|0C59488D-9F0D-4A4F-9927-165F65FA10BA|EstadisticasCttos|PreciosMensualesContratosIntegradosVerticalmenteSINMR||true|true|NB_EstadisticasCttos_PreciosMensualesContratosIntegradosVerticalmenteSINMR|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T06:09:18.260Z|Finalizado|Deltas OK!
730|10_Panorama_Energetico_Mediano_Plazo_Importaciones_Netas|1088A60B-BDFB-47CC-9E78-E49B68DC34F9|InformacionOperativaPeriodicaSIN|ImportacionesNetasEnergeticoMedianoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_ImportacionesNetasEnergeticoMedianoPlazo|2024-08-26|2026-08-24|2024-08-26T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Problemas con deltas, se tienen 2024-08-26 y 2024-09-01, deberian ser 2024-09-02 y 2024-09-08 respectivamente.|Error|Pipeline - Fallo ejecucion del NoteBook (Error en pipeline) -||2024-09-01T19:08:51.993Z|Fallido|Deltas OK!
812|9_ListadoSubareaOperativa|10F2C9B7-00EC-4E1A-A2E0-6D64A7510A17|InformacionGeneralSIN|9_ListadoSubareaOperativa||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 9_ListadoSubareaOperativa, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.9'. (102) (SQLExecDirectW)\")"||2024-09-01T07:07:37.247Z|Fallido|Deltas OK!
449|10_InformeProgramaRedespachoDiario|12C7FD97-2FDD-407C-A23E-2D921A14F50F|InformacionOperativaPeriodicaSIN|InformeProgramaRedespachoDiario||true|true|nb_general_simple|2024-08-27|2024-09-01|2024-08-27T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T07:07:37.790Z|Finalizado|Deltas OK!
658|16_IPPUSA|135C1099-3F6A-4978-938C-4DDD4C3571BF|InfoCargoPorConfiabilidad|ValoresCargoPorConfiabilidad||false|true|NB_InfoCargoPorConfiabilidad_ValoresCargoPorConfiabilidad|2023-12-01|2027-12-01|2019-11-01T00:00:00.000Z|2024-11-01T00:00:00.000Z|||Falta configurar alerta de delta|Finalizado|||2024-08-29T10:39:57.187Z|Fallido|Deltas OK!
629|12_14_MaestraCargoPorConfiabilidad|135C1099-3F6A-4978-938C-4DDD4C3571BF|InfoCargoPorConfiabilidad|ValoresCargoPorConfiabilidad||false|true|NB_InfoCargoPorConfiabilidad_ValoresCargoPorConfiabilidad|2023-12-01|2027-12-01|2023-12-01T00:00:00.000Z|2028-12-01T00:00:00.000Z|||Falta configurar alerta de delta|Finalizado|||2024-08-29T10:39:57.187Z|Fallido|
758|10_EvolucionEmbalses|138ED1B9-FA61-4A20-A119-787014E13359|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalses||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 10_EvolucionEmbalses, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.10'. (102) (SQLExecDirectW)\")"||2024-09-01T08:05:57.080Z|Fallido|Deltas OK!
904|MetricasApiArchivos|13FC3A0D-2CDC-4097-9D87-769897EFAEA2|Metricas|CalculoFrecuenciaInterrupcionServidores||false|true|NB_Metricas_CalculoFrecuenciaInterrupcionServidores|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Falta configurar alerta de delta|Iniciado|||2024-09-01T20:46:31.437Z|Fallido|Falta configurar alerta de delta
903|MetricasApiDatos|13FC3A0D-2CDC-4097-9D87-769897EFAEA2|Metricas|CalculoFrecuenciaInterrupcionServidores||false|true|NB_Metricas_CalculoFrecuenciaInterrupcionServidores|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Falta configurar alerta de delta|Iniciado|||2024-09-01T20:46:31.437Z|Fallido|Falta configurar alerta de delta
905|MetricasFrontDoor|13FC3A0D-2CDC-4097-9D87-769897EFAEA2|Metricas|CalculoFrecuenciaInterrupcionServidores||false|true|NB_Metricas_CalculoFrecuenciaInterrupcionServidores|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Falta configurar alerta de delta|Iniciado|||2024-09-01T20:46:31.437Z|Fallido|Falta configurar alerta de delta
761|10_VolumenTurbinado|1445ACAF-9CDD-4DFB-9668-37CD46B038CA|InformacionOperativaPeriodicaSIN|10_CaudalTurbinado||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 10_CaudalTurbinado, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.10'. (102) (SQLExecDirectW)\")"||2024-09-01T08:05:59.297Z|Fallido|Deltas OK!
891|21_EstadoFacturacionContratoUNR|14CCB984-B0D7-42A7-9AB6-E9D1FEA3B0EE|RegistroContratos|UltimaFacturacionFronterasUNR||false|true|NB_RegistroContratos_UltimaFacturacionFronterasUNR|2024-09-02|2024-09-02|2024-09-02T00:00:00.000Z|2024-09-02T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-02T04:04:24.930Z|Finalizado|Deltas OK!
892|21_RepresentantesFronterasUNR|14CCB984-B0D7-42A7-9AB6-E9D1FEA3B0EE|RegistroContratos|UltimaFacturacionFronterasUNR||false|true|NB_RegistroContratos_UltimaFacturacionFronterasUNR|2024-09-02|2024-09-02|2024-09-02T00:00:00.000Z|2024-09-02T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-02T04:04:24.930Z|Finalizado|Deltas OK!
206|Multifuente_27_29_31|15DF39D4-451F-48D7-BD2E-443DE8B1D66F|EstadisticasCttos|CantidadesFuturasNoSICEPMR||true|true|NB_EstadisticasCttos_CantidadesFuturasNoSICEPMR|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-02T08:06:19.133Z|Finalizado|Deltas OK!
