IdExtraccion|Tema|NombreExtraccion|IdExtraccionMaestra|IndRegulatorio|DatoObligatorio|PLDataFactory|ValorDeltaInicial|ValorDeltaFinal|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado
354|InformacionTransaccionesMEM|Multifuente_17_196649_u|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
380|InformacionTransaccionesMEM|Multifuente_17_196649_x|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
389|InformacionTransaccionesMEM|Multifuente_17_196649_k|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
395|InformacionTransaccionesMEM|Multifuente_17_196649_o|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
400|InformacionTransaccionesMEM|Multifuente_17_196649_zc|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
412|InformacionTransaccionesMEM|Multifuente_17_196649_e|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
416|InformacionTransaccionesMEM|Multifuente_17_196649_g|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
431|InformacionTransaccionesMEM|Multifuente_17_196649_v|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
433|InformacionTransaccionesMEM|Multifuente_17_196649_i|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
435|InformacionTransaccionesMEM|Multifuente_17_196649_l|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
450|InformacionTransaccionesMEM|Multifuente_17_196649_c|624.0|true|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
452|InformacionTransaccionesMEM|Multifuente_17_196649_d|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
453|InformacionTransaccionesMEM|Multifuente_17_196649_m|624.0|true|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
454|InformacionTransaccionesMEM|Multifuente_17_196649_w|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
455|InformacionTransaccionesMEM|Multifuente_17_196646_a|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
539|InformacionTransaccionesMEM|Multifuente_17_196649_sc|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
571|InformacionTransaccionesMEM|Multifuente_17_196649_stn|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
578|InformacionTransaccionesMEM|Multifuente_17_196649_st|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
586|InformacionTransaccionesMEM|Multifuente_17_196649_z|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
724|InformacionTransaccionesMEM|Multifuente_17_196649_j|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
725|InformacionTransaccionesMEM|Multifuente_17_196649_j1|624.0|false|false|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-08-28|2024-08-30|Liquidacion|Deltas OK!|Finalizado||||Finalizado
157|InfoGeneracionSeguridadyRestricciones|11.2_PronosticoDemandaHorariaMensual||false|true|PL_InfoGeneracionSeguridadyRestricciones_11_2_pronosticodemanda_horaria_mensual|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-05T23:01:02.427Z|Finalizado
164|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaCNDAreaHorariaMensual||true|true|PL_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaCNDAreaHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:02:28.457Z|Finalizado
165|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaCNDSubAreaHorariaMensual||true|true|PL_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaCNDSubAreaHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:02:13.927Z|Finalizado
167|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaCNDMCHorariaMensual||true|true|PL_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaCNDMCHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:02:52.733Z|Finalizado
171|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaOfiAreaHorariaMensual||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaOfiAreaHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:02:37.160Z|Finalizado
178|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaOfiSubAreaHorariaMensual||true|true|PL_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaOfiSubAreaHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:03:01.240Z|Finalizado
179|InformacionOperativaPeriodicaSIN|10_PronosticoDemandaOfiMCHorariaMensual||true|true|PL_InformacionOperativaPeriodicaSIN_10_PronosticoDemandaOfiMCHorariaMensual|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T17:02:31.957Z|Finalizado
182|EstadisticasCttos|27_29_31_TablaMaestraInformacionCttosLiquidada||true|true|PL_SIMEM_EstadisticasCttos_27_29_31_TablaMaestraInformacionCttosLiquidada|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-05T02:05:40.547Z|Finalizado
183|EstadisticasCttos|27_TablaMaestraCttosSICEP||true|true|PL_SIMEM_EstadisticasCttos_27_TablaMaestraCttosSICEP|2024-01-01|2024-12-31||Deltas OK!|||||Sin procesar
206|EstadisticasCttos|Multifuente_27_29_31||true|true|PL_EstadisticasCttos_Multifuente_27_29_31|2024-10-01|2029-09-30||Deltas OK!|Finalizado|||2024-09-01T02:06:24.940Z|Finalizado
207|EstadisticasCttos|27_29_31_DemandaUPME||true|true|PL_EstadisticasCttos_27_29_31_DemandaUPME|2024-10-01|2029-09-30||Deltas OK!|Finalizado|||2024-09-01T03:01:32.920Z|Finalizado
218|InformacionOperativaPeriodicaSIN|10_MinimoOperativoInvierno||true|true|PL_InformacionOperativaPeriodicaSIN_10_MinimoOperativoInvierno|2025-05-01|2027-04-30||Deltas OK!|Finalizado|||2024-04-30T09:12:44.100Z|Finalizado
220|InformacionOperativaPeriodicaSIN|10_MinimoOperativoVerano||true|true|PL_InformacionOperativaPeriodicaSIN_10_MinimoOperativoVerano|2024-12-01|2026-11-30||Deltas OK!|||||Sin procesar
265|InfoGeneracionSeguridadyRestricciones|11.1_CostoUnitarioReconciliacionPositiva||true|true|PL_InfoGeneracionSeguridadyRestricciones_11_1_CostoUnitariodeReconciliacionPositiva|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-12T13:01:06.843Z|Finalizado
269|InfoComponentesTarifariosUR|19_ComponenteTtarifa||true|true|PL_InfoComponentesTarifariosUR_19_ComponenteTtarifa|2024-03-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-06T07:02:59.520Z|Finalizado
272|InformacionAnillosdeSeguridadCxC|15_CantidadesPreciosMercadoSecundario||true|true|PL_InformacionAnillosdeSeguridadCxC_15_CantidadesPreciosMercadoSecundario|2024-09-03|2100-09-02||Deltas OK!|Finalizado|||2024-09-02T02:09:24.057Z|Finalizado
